paper_id,cited_by
15162675,32394118
17927550,32862265
213581842,32969271
303803545,32969271
305895154,32969271
320918497,32969271
331877108,32969271
69784543,33105495
90084074,33157556
1472756055,33250689
1490805365,33391418
23576045,33588775
53809769,33640052
149757499,33756405
16104842,33808975
189987711,34188177
1504862800,34205182
1481353657,34328636
75991474,34381828
212786159,34381828
283757728,34381828
1480394019,34381828
113558146,34399350
201628453,34444373
19520082,34653427
198928030,34716139
29661792,34769408
70743228,34769408
1504326765,34838703
49930306,34914669
252959711,34956765
166647746,35092626
4367799,35544591
108955667,35544591
1494314796,35575073
164635304,35596348
1492338191,36090210
125857362,36092594
36590524,36095503
2573304,36283327
191239301,36303648
1504603474,36455802
87560683,36546886
1485541946,36747726
1500886905,36747726
175563506,36843704
1504253824,37113338
175563506,37135713
52210563,37179887
36706009,37483639
189877255,37493863
32002537,37696276
160318044,37696276
150540462,38116596
1496147749,38723169
51323104,38735320
129356194,38943857
52171335,39340353
190172890,39695227
96496641,39832950
55197417,40003570
10589464,40054865
162472983,40095769
175563506,40095769
16598917,40503131
4367799,40520665
1483214482,40631333
29661792,41019707
120233808,41019707
425391008,41168033
1491351298,41811970
193506536,42062664
121367636,42080394
187962066,42122073
29095235,42433472
54739280,42433472
1485310157,42433472
201573687,42525944
33391418,42532800
146076398,42589800
1492039537,43147645
1496549841,43147645
193925929,43233584
22465955,43407050
29661792,43407050
133918762,43477313
163757519,43477313
77205158,43554226
252468355,43573688
21499675,43787340
63517543,43877154
376987247,43877154
172136067,44340815
23834669,44676229
1500411600,44846162
149702930,44880666
103416564,45039188
29661792,45249900
144926097,45249900
178795483,45402271
1021815331,45716010
149702930,45732280
287601386,45850974
403174314,45850974
130182065,46258725
156434077,46331890
140379607,46460532
1506220448,46507908
29661792,47365510
68801812,47365510
150455695,47365510
29661792,47677873
112411653,47677873
19621713,47963539
1465357002,47986056
53653168,48236978
116922145,48236978
175563506,48236978
170504220,48462588
373908372,49034894
1504991276,49074898
13102741,49215339
188029945,49496870
13910704,49646366
204819972,50238076
174979378,50758212
101267401,50788785
150124187,50831409
20339587,50897738
53942402,51549503
29661792,51568874
91826872,51568874
1496704300,51612467
1215345351,51730292
